,Region,values,Burden sharing
0,CAN,0.010853593674331065,GF
1,USA,0.009888492240676013,GF
2,MEX,0.00935365519982109,GF
3,RCAM,0.012520614586585092,GF
4,BRA,0.014159776393048747,GF
5,RSAM,0.013058798441242057,GF
6,NAF,0.012082409330209315,GF
7,WAF,0.013437957570368416,GF
8,EAF,0.011512316970477528,GF
9,SAF,0.022370044952770937,GF
10,WEU,0.008489718496320391,GF
11,CEU,0.00903823772803507,GF
12,TUR,0.01156498830284852,GF
13,UKR,0.021719655387053005,GF
14,STAN,0.019467095908981956,GF
15,RUS,0.018647776655781458,GF
16,ME,0.018900322612734423,GF
17,INDIA,0.016551520767189125,GF
18,KOR,0.009640775460945068,GF
19,CHN,0.00850339142893866,GF
20,SEAS,0.015763971973083775,GF
21,INDO,0.01387606553782521,GF
22,JAP,0.00857298479989947,GF
23,OCE,0.010340402495754466,GF
24,RSAS,0.01940255754373132,GF
25,RSAF,0.019204808551374755,GF
26,CAN,0.013263902997133061,IEPC
27,USA,0.013162294713340827,IEPC
28,MEX,0.00887369611101467,IEPC
29,RCAM,0.01129389387336369,IEPC
30,BRA,0.01660559668481335,IEPC
31,RSAM,0.013648522258038176,IEPC
32,NAF,0.009865540321656655,IEPC
33,WAF,0.009339495064951735,IEPC
34,EAF,0.003697722403352074,IEPC
35,SAF,0.025301894252485493,IEPC
36,WEU,0.009516186991099353,IEPC
37,CEU,0.01051714223567994,IEPC
38,TUR,0.011412064425562656,IEPC
39,UKR,0.02521995161345597,IEPC
40,STAN,0.02148525899410358,IEPC
41,RUS,0.023773513716651828,IEPC
42,ME,0.019330687902774066,IEPC
43,INDIA,0.0130320831298654,IEPC
44,KOR,0.013644167692598394,IEPC
45,CHN,0.011288509001128592,IEPC
46,SEAS,0.014463107726045508,IEPC
47,INDO,0.015088416199225229,IEPC
48,JAP,0.01152073747639197,IEPC
49,OCE,0.011965585026391673,IEPC
50,RSAS,0.012335102160333712,IEPC
51,RSAF,0.015829953821907144,IEPC
52,CAN,0.008494626538866122,PCC
53,USA,0.009409366198722896,PCC
54,MEX,0.010156804368786609,PCC
55,RCAM,0.010291372212165101,PCC
56,BRA,0.029001853816712653,PCC
57,RSAM,0.022299974105852105,PCC
58,NAF,0.006133309839244362,PCC
59,WAF,0.01901772336177485,PCC
60,EAF,0.01536389055927798,PCC
61,SAF,0.02444011884355497,PCC
62,WEU,0.005469826988702969,PCC
63,CEU,0.00839102293490278,PCC
64,TUR,0.007220882522459495,PCC
65,UKR,0.017148468572792896,PCC
66,STAN,0.008668271935363252,PCC
67,RUS,0.009566082292509947,PCC
68,ME,0.011394813018576914,PCC
69,INDIA,0.015422314902042206,PCC
70,KOR,0.009257351103147583,PCC
71,CHN,0.01042405241680498,PCC
72,SEAS,0.013970525049759215,PCC
73,INDO,0.014173633220437914,PCC
74,JAP,0.009800817426003777,PCC
75,OCE,0.013458490588284348,PCC
76,RSAS,0.017326156272010857,PCC
77,RSAF,0.014825707290807646,PCC
78,CAN,0.013697511179471355,AP
79,USA,0.013629964534242017,AP
80,MEX,0.009617652070460348,AP
81,RCAM,0.012135546780795137,AP
82,BRA,0.01432368419882901,AP
83,RSAM,0.013068455521506274,AP
84,NAF,0.010476257663739505,AP
85,WAF,0.009912508178569262,AP
86,EAF,0.007388747007672168,AP
87,SAF,0.021707846334957287,AP
88,WEU,0.01044861533373065,AP
89,CEU,0.010915447857456049,AP
90,TUR,0.011617915161777497,AP
91,UKR,0.02155852509704287,AP
92,STAN,0.018635695291421034,AP
93,RUS,0.02140346227880112,AP
94,ME,0.01720387952535189,AP
95,INDIA,0.012787842741280683,AP
96,KOR,0.013573067268776565,AP
97,CHN,0.011487316184519638,AP
98,SEAS,0.013596584819119416,AP
99,INDO,0.014066235954227006,AP
100,JAP,0.011923148187791758,AP
101,OCE,0.01230243459521592,AP
102,RSAS,0.012807296053103477,AP
103,RSAF,0.014029997847434411,AP
104,CAN,0.019439296930736333,GDR
105,USA,0.022614959254083977,GDR
106,MEX,0.009138319986225107,GDR
107,RCAM,0.009747424667989904,GDR
108,BRA,0.011470863805303542,GDR
109,RSAM,0.010309761474275978,GDR
110,NAF,0.008243305067713987,GDR
111,WAF,0.007370270223955273,GDR
112,EAF,0.005768484562467855,GDR
113,SAF,0.0187655517695297,GDR
114,WEU,0.017120701066167133,GDR
115,CEU,0.01317483507998513,GDR
116,TUR,0.012000362489342565,GDR
117,UKR,0.016710966281806953,GDR
118,STAN,0.015566344986117742,GDR
119,RUS,0.02123426409422575,GDR
120,ME,0.015617880128774915,GDR
121,INDIA,0.009245040438753448,GDR
122,KOR,0.008078040380933344,GDR
123,CHN,0.010005440494772233,GDR
124,SEAS,0.010787101669168485,GDR
125,INDO,0.009863439530297696,GDR
126,JAP,0.022514584756933763,GDR
127,OCE,0.01760385436527672,GDR
128,RSAS,0.009743198958371236,GDR
129,RSAF,0.010396515934830841,GDR
130,CAN,0.010708104253634734,none
131,USA,0.011113321112449588,none
132,MEX,0.009560712877124747,none
133,RCAM,0.010873377215125655,none
134,BRA,0.022835149865690886,none
135,RSAM,0.01802208276650227,none
136,NAF,0.008076497338661861,none
137,WAF,0.014324498066113646,none
138,EAF,0.00988054650098887,none
139,SAF,0.02474539576661323,none
140,WEU,0.007443537505467149,none
141,CEU,0.00941959976853742,none
142,TUR,0.00928537221697634,none
143,UKR,0.020999524919718793,none
144,STAN,0.014861616207338528,none
145,RUS,0.01628092701367279,none
146,ME,0.015251347332920996,none
147,INDIA,0.01441368560417656,none
148,KOR,0.011242504676950498,none
149,CHN,0.010749078396879913,none
150,SEAS,0.014268942562473892,none
151,INDO,0.014595121485244451,none
152,JAP,0.010573686070962762,none
153,OCE,0.012633409465230198,none
154,RSAS,0.015209009793597525,none
155,RSAF,0.015376798260472689,none
